gene,species,timepoint,expression
gene_10,species_1,t3,0.0
gene_10,species_2,t0,0.21004649491715843
gene_10,species_2,t1,0.0
gene_10,species_2,t2,1.1014733909745646
gene_10,species_2,t3,0.06920463967304769
gene_10,species_3,t0,0.6398358330116618
gene_10,species_3,t1,3.635887757702962
gene_10,species_3,t2,0.6190929280674443
gene_10,species_3,t3,0.12755978644664395
gene_11,species_1,t0,0.0
gene_11,species_1,t1,4.931326909462141
gene_11,species_1,t2,6.169581299945472
gene_11,species_1,t3,0.0
gene_11,species_2,t0,0.5275322946303073
gene_11,species_2,t1,0.14850597625388656
gene_11,species_2,t2,2.773723580286949
gene_11,species_2,t3,0.0
gene_11,species_3,t0,2.493554016319633
gene_11,species_3,t1,4.736957167590679
gene_11,species_3,t2,0.0
gene_11,species_3,t3,0.6048743721382956
gene_12,species_1,t0,0.0
gene_12,species_1,t1,0.42131642202691655
gene_12,species_1,t2,0.0
gene_12,species_1,t3,0.2810752731930388
gene_12,species_2,t0,0.0
gene_12,species_2,t1,0.0
gene_12,species_2,t2,0.0
gene_12,species_2,t3,0.8109310059466092
gene_12,species_3,t0,0.0
gene_12,species_3,t1,1.083032646581851
gene_12,species_3,t2,0.35323094570996016
gene_12,species_3,t3,0.37012215416547734
gene_13,species_1,t0,0.0
gene_13,species_1,t1,0.0
gene_13,species_1,t2,2.270249369713085
gene_13,species_1,t3,0.4179027600684123
gene_13,species_2,t0,0.26626345035988896
gene_13,species_2,t1,0.5260920796302576
gene_13,species_2,t2,0.0
gene_13,species_2,t3,0.0
gene_13,species_3,t0,0.0
gene_13,species_3,t1,0.0
gene_13,species_3,t2,2.268790962074637
gene_13,species_3,t3,0.7604751671515795
gene_14,species_1,t0,2.642953712508258
gene_14,species_1,t1,5.307635111611821
gene_14,species_1,t2,5.06838001360343
gene_14,species_1,t3,1.4484224994760087
gene_14,species_2,t0,0.0
gene_14,species_2,t1,0.0
gene_14,species_2,t2,1.6558070027661977
gene_14,species_2,t3,0.0
gene_14,species_3,t0,0.0
gene_14,species_3,t1,3.679051356148011
gene_14,species_3,t2,0.0
gene_14,species_3,t3,0.0
gene_15,species_1,t0,0.41776749243627775
gene_15,species_1,t1,1.1033364193607393
gene_15,species_1,t2,1.1061254183341513
gene_15,species_1,t3,0.15118326081994363
gene_15,species_2,t0,0.004988879234659613
gene_15,species_2,t1,0.43778524385854906
gene_15,species_2,t2,0.9081711811544214
gene_15,species_2,t3,0.0
gene_15,species_3,t0,0.0
gene_15,species_3,t1,0.0
gene_15,species_3,t2,1.1333387626873273
gene_15,species_3,t3,0.17345186825073913
gene_16,species_1,t0,0.0
gene_16,species_1,t1,1.0056738843215682
gene_16,species_1,t2,1.6698566712602596
gene_16,species_1,t3,0.8672229340528308
gene_16,species_2,t0,0.0
gene_16,species_2,t1,0.6365287928246575
gene_16,species_2,t2,2.241925114515327
gene_16,species_2,t3,0.0
gene_16,species_3,t0,0.0
gene_16,species_3,t1,1.4496433166947775
gene_16,species_3,t2,0.44227471950619307
gene_16,species_3,t3,0.7721955409691773
gene_17,species_1,t0,2.32328480083393
gene_17,species_1,t1,0.0
gene_17,species_1,t2,2.4776733439930227
gene_17,species_1,t3,0.3681843685898195
gene_17,species_2,t0,1.060398428489229
gene_17,species_2,t1,0.0
gene_17,species_2,t2,0.40788137954341863
gene_17,species_2,t3,1.4531354076022942
gene_17,species_3,t0,0.0
gene_17,species_3,t1,1.2982036890694608
gene_17,species_3,t2,5.526798940803216
gene_17,species_3,t3,2.2776709216093227
gene_18,species_1,t0,1.6855909634899693
gene_18,species_1,t1,0.0
gene_18,species_1,t2,2.4611347563518207
gene_18,species_1,t3,0.0
gene_18,species_2,t0,0.4281417535584691
gene_18,species_2,t1,0.0
gene_18,species_2,t2,2.3516023416483764
gene_18,species_2,t3,1.4387321512955245
gene_18,species_3,t0,0.3421463637572415
gene_18,species_3,t1,2.7166906402069295
gene_18,species_3,t2,0.0
gene_18,species_3,t3,0.8364150173347988
gene_19,species_1,t0,0.0
gene_19,species_1,t1,2.6362940916240056
gene_19,species_1,t2,0.0
gene_19,species_1,t3,1.0161089692309517
gene_19,species_2,t0,0.26451006614459155
gene_19,species_2,t1,0.0
gene_19,species_2,t2,0.0
gene_19,species_2,t3,0.0
gene_19,species_3,t0,1.2885090279660156
gene_19,species_3,t1,0.0
gene_19,species_3,t2,1.4251159872060886
gene_19,species_3,t3,0.0
gene_20,species_1,t0,0.0
gene_20,species_1,t1,2.162612450784339
gene_20,species_1,t2,4.481033718995465
gene_20,species_1,t3,0.0
gene_20,species_2,t0,0.0
gene_20,species_2,t1,0.0
gene_20,species_2,t2,0.3837353804156836
gene_20,species_2,t3,0.6720604944156334
gene_20,species_3,t0,0.0
gene_20,species_3,t1,4.908029305165629
gene_20,species_3,t2,1.3309507406876118
gene_20,species_3,t3,0.0
gene_21,species_1,t0,0.50690097548893
gene_21,species_1,t1,0.0
gene_21,species_1,t2,0.5265259790712606
gene_21,species_1,t3,0.0
gene_21,species_2,t0,0.0
gene_21,species_2,t1,0.7853511644005269
gene_21,species_2,t2,1.6023461233141865
gene_21,species_2,t3,0.7413206795752321
gene_21,species_3,t0,0.7851804262616706
gene_21,species_3,t1,0.1314266497470138
gene_21,species_3,t2,1.5838292840407844
gene_21,species_3,t3,0.01368420332407315
gene_22,species_1,t0,1.1289854604471767
gene_22,species_1,t1,0.0
gene_22,species_1,t2,1.9746486483976935
gene_22,species_1,t3,0.6862871566540436
gene_22,species_2,t0,0.008624271163510614
gene_22,species_2,t1,1.1429802504232116
gene_22,species_2,t2,2.9189921123978806
gene_22,species_2,t3,0.0
gene_22,species_3,t0,1.4146585771423312
gene_22,species_3,t1,0.0
gene_22,species_3,t2,3.179073206252212
gene_22,species_3,t3,0.16113087927245823
gene_23,species_1,t0,1.8159115619746542
gene_23,species_1,t1,3.560774966307858
gene_23,species_1,t2,0.0
gene_23,species_1,t3,0.9218065369593467
gene_23,species_2,t0,0.0
gene_23,species_2,t1,0.0
gene_23,species_2,t2,0.5618815935397489
gene_23,species_2,t3,0.4060683181696087
gene_23,species_3,t0,1.475179010600142
gene_23,species_3,t1,0.0
gene_23,species_3,t2,2.5672591116043613
gene_23,species_3,t3,0.6703354388669922
gene_24,species_1,t0,1.4894646036789279
gene_24,species_1,t1,0.0
gene_24,species_1,t2,2.1393844918243534
gene_24,species_1,t3,0.46203836961521827
gene_24,species_2,t0,0.35666648833175857
gene_24,species_2,t1,0.0
gene_24,species_2,t2,0.12983305435222672
gene_24,species_2,t3,0.15171075910422954
gene_24,species_3,t0,0.9312010280922794
gene_24,species_3,t1,1.5629978412989947
gene_24,species_3,t2,2.316921466059302
gene_24,species_3,t3,0.0
gene_25,species_1,t0,3.299615123555569
gene_25,species_1,t1,6.84371018708058
gene_25,species_1,t2,5.723308621943349
gene_25,species_1,t3,1.6541612313891465
gene_25,species_2,t0,0.0
gene_25,species_2,t1,0.7252630439044669
gene_25,species_2,t2,2.8161228485935577
gene_25,species_2,t3,1.276322529701734
gene_25,species_3,t0,0.0
gene_25,species_3,t1,0.0
gene_25,species_3,t2,0.0
gene_25,species_3,t3,1.0863003466956362
gene_26,species_1,t0,0.0
gene_26,species_1,t1,0.0
gene_26,species_1,t2,0.0
gene_26,species_1,t3,0.10389229798941771
gene_26,species_2,t0,0.18311520403240286
gene_26,species_2,t1,0.9898382840404631
gene_26,species_2,t2,1.3259545897778695
gene_26,species_2,t3,0.4609563788116827
gene_26,species_3,t0,0.2768187968295055
gene_26,species_3,t1,0.9965269506566117
gene_26,species_3,t2,0.0
gene_26,species_3,t3,0.0
gene_27,species_1,t0,0.0
gene_27,species_1,t1,4.399363043588899
gene_27,species_1,t2,0.0
gene_27,species_1,t3,0.298368961489938
gene_27,species_2,t0,0.7463899087920421
gene_27,species_2,t1,0.03269051140648971
gene_27,species_2,t2,0.0
gene_27,species_2,t3,0.0
gene_27,species_3,t0,0.0
gene_27,species_3,t1,1.4154805956211736
gene_27,species_3,t2,4.736469506944202
gene_27,species_3,t3,1.6418405846824802
gene_28,species_1,t0,1.0814724496800618
gene_28,species_1,t1,0.0
gene_28,species_1,t2,2.4914664395973243
gene_28,species_1,t3,0.0
gene_28,species_2,t0,0.1885386742270138
gene_28,species_2,t1,0.0
gene_28,species_2,t2,2.5375648780583036
gene_28,species_2,t3,1.7272262351116419
gene_28,species_3,t0,1.362360809682659
gene_28,species_3,t1,1.2122466027117782
gene_28,species_3,t2,1.9516644865772668
gene_28,species_3,t3,0.06951570752330051
gene_29,species_1,t0,1.0519273145842662
gene_29,species_1,t1,1.8068653197296862
gene_29,species_1,t2,0.0
gene_29,species_1,t3,0.823395249350422
gene_29,species_2,t0,0.0
gene_29,species_2,t1,0.22203898012631335
gene_29,species_2,t2,0.9072051099225863
gene_29,species_2,t3,0.8001631320218995
gene_29,species_3,t0,1.050463808412841
gene_29,species_3,t1,2.1570433434875556
gene_29,species_3,t2,0.5310994755018451
gene_29,species_3,t3,0.30598900636614246
gene_30,species_1,t0,0.1674754546485994
gene_30,species_1,t1,0.7785686127725581
gene_30,species_1,t2,0.0
gene_30,species_1,t3,0.5973502733188006
gene_30,species_2,t0,0.1756004343330195
gene_30,species_2,t1,0.0
gene_30,species_2,t2,0.0
gene_30,species_2,t3,0.0
gene_30,species_3,t0,0.0
gene_30,species_3,t1,0.777689089236593
gene_30,species_3,t2,1.1881376682423714
gene_30,species_3,t3,0.4327173509813188
gene_31,species_1,t0,0.361212842013787
gene_31,species_1,t1,0.1242799163513575
gene_31,species_1,t2,0.8551084264181381
gene_31,species_1,t3,0.016106789657395183
gene_31,species_2,t0,0.1738671795399633
gene_31,species_2,t1,1.4717461500337872
gene_31,species_2,t2,2.380753171117075
gene_31,species_2,t3,1.1841876706586543
gene_31,species_3,t0,0.3058570613191458
gene_31,species_3,t1,0.0
gene_31,species_3,t2,0.7785207576303244
gene_31,species_3,t3,0.0
gene_32,species_1,t0,0.0
gene_32,species_1,t1,2.494005943796581
gene_32,species_1,t2,0.0
gene_32,species_1,t3,0.8059624889839749
gene_32,species_2,t0,0.0
gene_32,species_2,t1,0.0
gene_32,species_2,t2,1.289711155881673
gene_32,species_2,t3,0.0
gene_32,species_3,t0,0.8632303493807009
gene_32,species_3,t1,0.0
gene_32,species_3,t2,0.0
gene_32,species_3,t3,0.08666821202504127
gene_33,species_1,t0,0.0
gene_33,species_1,t1,1.8395655059125142
gene_33,species_1,t2,0.0
gene_33,species_1,t3,0.17193898703295524
gene_33,species_2,t0,0.5274215337373289
gene_33,species_2,t1,0.3151275701728502
gene_33,species_2,t2,0.10257121244411932
gene_33,species_2,t3,0.0
gene_33,species_3,t0,0.0
gene_33,species_3,t1,0.5912570151520162
gene_33,species_3,t2,3.2137527489246733
gene_33,species_3,t3,1.1825283552424652
gene_34,species_1,t0,3.4951123900442234
gene_34,species_1,t1,0.0
gene_34,species_1,t2,5.814675440991674
gene_34,species_1,t3,1.3996666683844932
gene_34,species_2,t0,0.6401177975846238
gene_34,species_2,t1,1.227702338174085
gene_34,species_2,t2,0.0
gene_34,species_2,t3,0.3122177541138808
gene_34,species_3,t0,2.220825653512028
gene_34,species_3,t1,4.651690761663089
gene_34,species_3,t2,0.0
gene_34,species_3,t3,1.0521126895237984
gene_35,species_1,t0,0.14225276638749246
gene_35,species_1,t1,0.6982226631655325
gene_35,species_1,t2,1.0359163052688338
gene_35,species_1,t3,0.6434588165445285
gene_35,species_2,t0,0.0
gene_35,species_2,t1,0.2467284742437025
gene_35,species_2,t2,1.5045395149178162
gene_35,species_2,t3,0.0
gene_35,species_3,t0,0.0
gene_35,species_3,t1,1.3594924292379855
gene_35,species_3,t2,2.3699103317903427
gene_35,species_3,t3,1.3238004112532502
gene_36,species_1,t0,3.143071903379534
gene_36,species_1,t1,5.611448114866095
gene_36,species_1,t2,5.341940616784933
gene_36,species_1,t3,1.3950639942466745
gene_36,species_2,t0,0.0
gene_36,species_2,t1,0.0
gene_36,species_2,t2,0.0
gene_36,species_2,t3,0.04723146362973189
gene_36,species_3,t0,2.1468201721093925
gene_36,species_3,t1,4.110509843137944
gene_36,species_3,t2,4.052688198727031
gene_36,species_3,t3,1.0333996220139923
gene_37,species_1,t0,0.5347486475887475
gene_37,species_1,t1,0.0
gene_37,species_1,t2,0.0
gene_37,species_1,t3,0.0
gene_37,species_2,t0,0.0
gene_37,species_2,t1,0.5625181821470127
gene_37,species_2,t2,0.0
gene_37,species_2,t3,0.0
gene_37,species_3,t0,0.8447099789422502
gene_37,species_3,t1,0.9280241801189344
gene_37,species_3,t2,0.7280989883604585
gene_37,species_3,t3,0.3314840947306855
gene_38,species_1,t0,0.9969487844296362
gene_38,species_1,t1,1.09569655835521
gene_38,species_1,t2,0.0
gene_38,species_1,t3,0.48517337836515495
gene_38,species_2,t0,0.023868781843132104
gene_38,species_2,t1,1.4512049609608986
gene_38,species_2,t2,1.7905761806438165
gene_38,species_2,t3,0.6738393902562607
gene_38,species_3,t0,0.0
gene_38,species_3,t1,2.546821888051685
gene_38,species_3,t2,0.5833033822284719
gene_38,species_3,t3,0.30686863131547404
gene_39,species_1,t0,0.0
gene_39,species_1,t1,4.4784388909294846
gene_39,species_1,t2,0.0
gene_39,species_1,t3,0.7333257996042941
gene_39,species_2,t0,0.4555447218589095
gene_39,species_2,t1,0.2900466939643385
gene_39,species_2,t2,1.3965402074948072
gene_39,species_2,t3,0.23872203184436008
gene_39,species_3,t0,1.7810666579639816
gene_39,species_3,t1,1.7761230608441099
gene_39,species_3,t2,4.6615464504683
gene_39,species_3,t3,1.1996000592235865
gene_40,species_1,t0,3.421311706903139
gene_40,species_1,t1,6.048497763804473
gene_40,species_1,t2,5.366564620347523
gene_40,species_1,t3,0.0
gene_40,species_2,t0,0.9538885178035321
gene_40,species_2,t1,1.6811617497090738
gene_40,species_2,t2,0.0
gene_40,species_2,t3,0.0
gene_40,species_3,t0,2.0416060245059118
gene_40,species_3,t1,4.616618281079219
gene_40,species_3,t2,4.720789669522461
gene_40,species_3,t3,1.8927560164969301
gene_41,species_1,t0,0.35243207341945115
gene_41,species_1,t1,0.640022981239039
gene_41,species_1,t2,0.0
gene_41,species_1,t3,0.0
gene_41,species_2,t0,0.2717862923377157
gene_41,species_2,t1,0.0
gene_41,species_2,t2,0.033935190162748624
gene_41,species_2,t3,0.3285356114997078
gene_41,species_3,t0,0.05720790560970253
gene_41,species_3,t1,0.24015057002416915
gene_41,species_3,t2,0.0
gene_41,species_3,t3,0.32357376240208957
gene_42,species_1,t0,0.5553609847762452
gene_42,species_1,t1,1.3430604590814756
gene_42,species_1,t2,0.06907326191722837
gene_42,species_1,t3,0.24074631268917535
gene_42,species_2,t0,0.0
gene_42,species_2,t1,0.0
gene_42,species_2,t2,0.0
gene_42,species_2,t3,0.908204175283239
gene_42,species_3,t0,0.19195528014301103
gene_42,species_3,t1,0.7168079037691415
gene_42,species_3,t2,0.0
gene_42,species_3,t3,1.0907026447103965
gene_43,species_1,t0,0.9079659126918785
gene_43,species_1,t1,1.094783899702401
gene_43,species_1,t2,1.9921301414577999
gene_43,species_1,t3,0.6800910751361608
gene_43,species_2,t0,0.4661516242141359
gene_43,species_2,t1,0.6775517738011253
gene_43,species_2,t2,0.3786222950897835
gene_43,species_2,t3,0.2022544196501351
gene_43,species_3,t0,0.0
gene_43,species_3,t1,2.0700700944407577
gene_43,species_3,t2,0.7354556973981481
gene_43,species_3,t3,0.2764140441620671
gene_44,species_1,t0,1.9000732181085231
gene_44,species_1,t1,2.9853760293287874
gene_44,species_1,t2,3.6301899637096366
gene_44,species_1,t3,1.119092193414468
gene_44,species_2,t0,0.24374997126411177
gene_44,species_2,t1,0.5534362311123573
gene_44,species_2,t2,0.39446367133571936
gene_44,species_2,t3,0.0
gene_44,species_3,t0,1.3013108327102991
gene_44,species_3,t1,0.0
gene_44,species_3,t2,0.7624972753919514
gene_44,species_3,t3,0.24183139798892578
gene_45,species_1,t0,1.2312202943450679
gene_45,species_1,t1,2.4940321417740807
gene_45,species_1,t2,1.799215278744883
gene_45,species_1,t3,0.0
gene_45,species_2,t0,0.026088203864598536
gene_45,species_2,t1,0.0
gene_45,species_2,t2,1.3832663405131371
gene_45,species_2,t3,0.533975097191164
gene_45,species_3,t0,1.1564286542470388
gene_45,species_3,t1,0.0
gene_45,species_3,t2,0.0
gene_45,species_3,t3,0.5495955249564832
gene_46,species_1,t0,0.0
gene_46,species_1,t1,5.272872269909898
gene_46,species_1,t2,5.275896531352943
gene_46,species_1,t3,1.2655516118281274
gene_46,species_2,t0,0.45070547014549306
gene_46,species_2,t1,1.0093573823012187
gene_46,species_2,t2,0.37411675240394393
gene_46,species_2,t3,0.34924419736882617
gene_46,species_3,t0,0.0
gene_46,species_3,t1,4.132025088910798
gene_46,species_3,t2,3.4456614826226493
gene_46,species_3,t3,1.1593946541111246
gene_47,species_1,t0,1.071140723979265
gene_47,species_1,t1,2.8902833136349613
gene_47,species_1,t2,0.0
gene_47,species_1,t3,0.48502833173457466
gene_47,species_2,t0,0.0
gene_47,species_2,t1,0.8622077916350457
gene_47,species_2,t2,0.0
gene_47,species_2,t3,0.0
gene_47,species_3,t0,1.3711691678698705
gene_47,species_3,t1,0.0
gene_47,species_3,t2,4.026374187503082
gene_47,species_3,t3,0.0
gene_48,species_1,t0,0.3467623247889733
gene_48,species_1,t1,0.7985126910532621
gene_48,species_1,t2,1.3791569995315438
gene_48,species_1,t3,0.6206037311180699
gene_48,species_2,t0,0.31813487857874373
gene_48,species_2,t1,0.18277168870171132
gene_48,species_2,t2,1.056024206235806
gene_48,species_2,t3,0.852844420079172
gene_48,species_3,t0,0.3706375230604363
gene_48,species_3,t1,0.0
gene_48,species_3,t2,0.10859852812525984
gene_48,species_3,t3,0.3575110239185267
gene_49,species_1,t0,0.6971007088106631
gene_49,species_1,t1,1.2519150652342175
gene_49,species_1,t2,1.4730157107642272
gene_49,species_1,t3,0.31791131691146823
gene_49,species_2,t0,0.0
gene_49,species_2,t1,0.0
gene_49,species_2,t2,0.0
gene_49,species_2,t3,0.16575037828569678
gene_49,species_3,t0,0.3560257262199472
gene_49,species_3,t1,0.0
gene_49,species_3,t2,0.15977134497454792
gene_49,species_3,t3,0.06063037009980497
gene_50,species_1,t0,0.0
gene_50,species_1,t1,0.07896482190516646
gene_50,species_1,t2,1.1977515551920328
gene_50,species_1,t3,0.27074665079042753
gene_50,species_2,t0,0.21820080423202415
gene_50,species_2,t1,1.6716865386595314
gene_50,species_2,t2,1.8274681869847975
gene_50,species_2,t3,0.5550359449250925
gene_50,species_3,t0,0.2742630153303643
gene_50,species_3,t1,2.379974180103406
gene_50,species_3,t2,2.168066274173872
gene_50,species_3,t3,0.5563729426336992
gene_51,species_1,t0,0.0
gene_51,species_1,t1,4.385947811882788
gene_51,species_1,t2,3.799874990261692
gene_51,species_1,t3,0.0
gene_51,species_2,t0,0.42025012509681575
gene_51,species_2,t1,0.2587096483741226
gene_51,species_2,t2,0.6018534983655048
gene_51,species_2,t3,0.0
gene_51,species_3,t0,1.564708184790469
gene_51,species_3,t1,2.71040392111975
gene_51,species_3,t2,3.53736042312594
gene_51,species_3,t3,1.1636619526130172
gene_52,species_1,t0,0.0
gene_52,species_1,t1,1.4360608176867495
gene_52,species_1,t2,0.0
gene_52,species_1,t3,0.37169521894725793
gene_52,species_2,t0,0.5698477417580797
gene_52,species_2,t1,1.24251719712092
gene_52,species_2,t2,0.0
gene_52,species_2,t3,0.0
gene_52,species_3,t0,0.5624799651120418
gene_52,species_3,t1,2.107820847683799
gene_52,species_3,t2,3.99800110464697
gene_52,species_3,t3,1.291171205275455
gene_53,species_1,t0,2.4896842766371385
gene_53,species_1,t1,4.013488509278446
gene_53,species_1,t2,3.9169502016707627
gene_53,species_1,t3,0.9495760786550381
gene_53,species_2,t0,0.4297107997496329
gene_53,species_2,t1,1.277871233480753
gene_53,species_2,t2,0.5257958649396464
gene_53,species_2,t3,0.3926255230258039
gene_53,species_3,t0,0.0
gene_53,species_3,t1,0.0
gene_53,species_3,t2,2.2570733858251897
gene_53,species_3,t3,0.0
gene_54,species_1,t0,0.4310650679140842
gene_54,species_1,t1,0.0
gene_54,species_1,t2,0.6778145214940845
gene_54,species_1,t3,0.0
gene_54,species_2,t0,0.001538225433619549
gene_54,species_2,t1,0.0949694056871387
gene_54,species_2,t2,0.06068884316631646
gene_54,species_2,t3,0.09110959627311188
gene_54,species_3,t0,0.0
gene_54,species_3,t1,0.8257515686991395
gene_54,species_3,t2,0.21481634710298067
gene_54,species_3,t3,0.10491846518176548
gene_55,species_1,t0,0.0
gene_55,species_1,t1,1.9405036358945194
gene_55,species_1,t2,2.3253542711239557
gene_55,species_1,t3,0.6912022108975584
gene_55,species_2,t0,0.2510383846970797
gene_55,species_2,t1,0.10454688044460987
gene_55,species_2,t2,0.7686592171646213
gene_55,species_2,t3,0.5400734603650454
gene_55,species_3,t0,0.8734352131586922
gene_55,species_3,t1,1.5803780976931219
gene_55,species_3,t2,0.6468094030700092
gene_55,species_3,t3,0.0
gene_56,species_1,t0,2.07089301640269
gene_56,species_1,t1,3.040080609873056
gene_56,species_1,t2,3.1289458312786147
gene_56,species_1,t3,0.4585554425170348
gene_56,species_2,t0,0.5385560273500044
gene_56,species_2,t1,1.5175047543583953
gene_56,species_2,t2,1.9974514402661778
gene_56,species_2,t3,0.0
gene_56,species_3,t0,0.9653091478899284
gene_56,species_3,t1,3.4975425612230975
gene_56,species_3,t2,1.6149383721935981
gene_56,species_3,t3,0.0
gene_57,species_1,t0,0.0
gene_57,species_1,t1,3.144309691262428
gene_57,species_1,t2,2.855890514433702
gene_57,species_1,t3,0.7501364147002926
gene_57,species_2,t0,0.0
gene_57,species_2,t1,0.08132234561312421
gene_57,species_2,t2,0.0
gene_57,species_2,t3,0.4414007008436279
gene_57,species_3,t0,1.2355632477151308
gene_57,species_3,t1,0.0
gene_57,species_3,t2,2.213402726941055
gene_57,species_3,t3,0.4335258994985964
gene_58,species_1,t0,0.1670109822682487
gene_58,species_1,t1,0.3951835356163769
gene_58,species_1,t2,0.015235023050997006
gene_58,species_1,t3,0.2751139141248731
gene_58,species_2,t0,0.0
gene_58,species_2,t1,0.30085236130843734
gene_58,species_2,t2,0.4019830477262856
gene_58,species_2,t3,0.0
gene_58,species_3,t0,0.016291384855338098
gene_58,species_3,t1,0.0
gene_58,species_3,t2,0.7759260155596903
gene_58,species_3,t3,0.4768142715155301
gene_59,species_1,t0,0.5292289154162307
gene_59,species_1,t1,0.4831643502585885
gene_59,species_1,t2,1.3551112250701698
gene_59,species_1,t3,0.7574253897003465
gene_59,species_2,t0,0.3674874311543048
gene_59,species_2,t1,0.0
gene_59,species_2,t2,0.0
gene_59,species_2,t3,0.0
gene_59,species_3,t0,0.4991662553885735
gene_59,species_3,t1,1.5044517623461027
gene_59,species_3,t2,0.7733657731197243
gene_59,species_3,t3,0.4804614624998007
gene_60,species_1,t0,0.1572120874704778
gene_60,species_1,t1,0.798690398668537
gene_60,species_1,t2,0.0
gene_60,species_1,t3,0.034737220172986805
gene_60,species_2,t0,0.2178787505560675
gene_60,species_2,t1,0.08788344057257386
gene_60,species_2,t2,0.0
gene_60,species_2,t3,0.0
gene_60,species_3,t0,0.0
gene_60,species_3,t1,0.0
gene_60,species_3,t2,1.4025826249225142
gene_60,species_3,t3,0.0
gene_61,species_1,t0,0.0
gene_61,species_1,t1,3.920881305512022
