gene,species,timepoint,expression
gene_8,species_1,t1,3.180518279588792
gene_8,species_1,t2,0.9444268219789504
gene_8,species_1,t3,0.0
gene_8,species_2,t0,1.6050355777434184
gene_8,species_2,t1,2.97561584428862
gene_8,species_2,t2,0.8387215177357751
gene_8,species_2,t3,0.0
gene_8,species_3,t0,0.150568647954364
gene_8,species_3,t1,0.0
gene_8,species_3,t2,0.1696465011754387
gene_8,species_3,t3,0.0854581039445389
gene_9,species_1,t0,0.0
gene_9,species_1,t1,3.1157019557275034
gene_9,species_1,t2,1.3081875218858656
gene_9,species_1,t3,0.0
gene_9,species_2,t0,1.3348563288518662
gene_9,species_2,t1,2.5596130151311183
gene_9,species_2,t2,0.8995343045598312
gene_9,species_2,t3,1.0500987255356118
gene_9,species_3,t0,0.04867363867215868
gene_9,species_3,t1,0.46853820809303326
gene_9,species_3,t2,0.2556518291863595
gene_9,species_3,t3,0.0
gene_10,species_1,t0,0.0
gene_10,species_1,t1,0.0
gene_10,species_1,t2,1.2537567690029832
gene_10,species_1,t3,0.8100093495472731
gene_10,species_2,t0,0.6515021923609626
gene_10,species_2,t1,0.8337396716188461
gene_10,species_2,t2,0.0
gene_10,species_2,t3,0.09268426536354478
gene_10,species_3,t0,0.0
gene_10,species_3,t1,0.0
gene_10,species_3,t2,0.0
gene_10,species_3,t3,0.45859867674631016
gene_11,species_1,t0,0.0
gene_11,species_1,t1,0.0
gene_11,species_1,t2,3.3378766054667626
gene_11,species_1,t3,0.0
gene_11,species_2,t0,0.31200292150046516
gene_11,species_2,t1,0.7083501291046961
gene_11,species_2,t2,0.0
gene_11,species_2,t3,0.8785336380419851
gene_11,species_3,t0,0.1849559780687989
gene_11,species_3,t1,0.5361693967567248
gene_11,species_3,t2,1.4279928039686993
gene_11,species_3,t3,0.6510631502472694
gene_12,species_1,t0,1.682324243040374
gene_12,species_1,t1,0.0
gene_12,species_1,t2,3.1393610491615713
gene_12,species_1,t3,2.5656036241669495
gene_12,species_2,t0,1.4080438555006531
gene_12,species_2,t1,2.3995095204974795
gene_12,species_2,t2,1.8190418195955012
gene_12,species_2,t3,1.339555809336342
gene_12,species_3,t0,0.17361262838492658
gene_12,species_3,t1,1.0595724610159238
gene_12,species_3,t2,0.0
gene_12,species_3,t3,0.9312929421264444
gene_13,species_1,t0,1.6187479449823141
gene_13,species_1,t1,0.0
gene_13,species_1,t2,2.6624945743787953
gene_13,species_1,t3,0.0
gene_13,species_2,t0,2.1555324372492963
gene_13,species_2,t1,3.612080252810356
gene_13,species_2,t2,0.0
gene_13,species_2,t3,0.15033848935663957
gene_13,species_3,t0,0.0
gene_13,species_3,t1,0.3109347495743911
gene_13,species_3,t2,1.184161713463795
gene_13,species_3,t3,0.6640782212263341
gene_14,species_1,t0,0.7559858415357205
gene_14,species_1,t1,1.0059863768634283
gene_14,species_1,t2,0.7255405857666699
gene_14,species_1,t3,0.022595323097179765
gene_14,species_2,t0,0.35999989819329886
gene_14,species_2,t1,0.7882370121667933
gene_14,species_2,t2,1.0091813713204965
gene_14,species_2,t3,0.2739493715215341
gene_14,species_3,t0,0.21487742018501038
gene_14,species_3,t1,0.41708751966142443
gene_14,species_3,t2,0.0
gene_14,species_3,t3,0.0
gene_15,species_1,t0,0.0
gene_15,species_1,t1,3.0937148243727233
gene_15,species_1,t2,0.30904686500367545
gene_15,species_1,t3,0.7862775012455279
gene_15,species_2,t0,1.9300917369636188
gene_15,species_2,t1,3.3536232960962415
gene_15,species_2,t2,0.2689993036102826
gene_15,species_2,t3,0.747015604244258
gene_15,species_3,t0,0.23542803785631655
gene_15,species_3,t1,0.20747036970757468
gene_15,species_3,t2,0.16936026667192708
gene_15,species_3,t3,0.0
gene_16,species_1,t0,0.5605792844258111
gene_16,species_1,t1,0.05614172934115766
gene_16,species_1,t2,0.1180836852008416
gene_16,species_1,t3,0.10666510858212437
gene_16,species_2,t0,1.1803170008129877
gene_16,species_2,t1,0.0
gene_16,species_2,t2,1.186347010567325
gene_16,species_2,t3,0.0
gene_16,species_3,t0,0.0
gene_16,species_3,t1,0.0
gene_16,species_3,t2,0.0
gene_16,species_3,t3,0.5688434799752743
gene_17,species_1,t0,0.0
gene_17,species_1,t1,0.75335707700953
gene_17,species_1,t2,0.0
gene_17,species_1,t3,1.8224072100836677
gene_17,species_2,t0,0.2881492725132463
gene_17,species_2,t1,0.0
gene_17,species_2,t2,2.7806380255252496
gene_17,species_2,t3,0.0
gene_17,species_3,t0,0.21419490845686426
gene_17,species_3,t1,0.10890544054331591
gene_17,species_3,t2,1.0136449926578286
gene_17,species_3,t3,0.2209615517337492
gene_18,species_1,t0,0.19942017894785885
gene_18,species_1,t1,0.08414511700167648
gene_18,species_1,t2,0.8713360651041074
gene_18,species_1,t3,0.2944221693950158
gene_18,species_2,t0,0.6299358426706796
gene_18,species_2,t1,0.9221607096823129
gene_18,species_2,t2,0.0
gene_18,species_2,t3,0.872634877729484
gene_18,species_3,t0,0.02085228618075602
gene_18,species_3,t1,0.7706921626934369
gene_18,species_3,t2,0.0
gene_18,species_3,t3,0.0
gene_19,species_1,t0,0.0
gene_19,species_1,t1,0.0
gene_19,species_1,t2,0.4709826486629716
gene_19,species_1,t3,0.04662207917167974
gene_19,species_2,t0,0.692304691429618
gene_19,species_2,t1,1.1965428025131908
gene_19,species_2,t2,1.705113584780955
gene_19,species_2,t3,1.076505417786032
gene_19,species_3,t0,0.4991350112439392
gene_19,species_3,t1,1.634596946743004
gene_19,species_3,t2,0.0
gene_19,species_3,t3,0.5973683067194541
gene_20,species_1,t0,0.7582630223392022
gene_20,species_1,t1,0.0
gene_20,species_1,t2,0.0
gene_20,species_1,t3,0.0
gene_20,species_2,t0,0.0
gene_20,species_2,t1,2.0842610377597337
gene_20,species_2,t2,0.03021810220423211
gene_20,species_2,t3,0.0
gene_20,species_3,t0,0.0
gene_20,species_3,t1,0.0
gene_20,species_3,t2,0.4729072574241477
gene_20,species_3,t3,0.28457395943917674
gene_21,species_1,t0,1.4320805938317362
gene_21,species_1,t1,3.169575066551127
gene_21,species_1,t2,0.8115293746643913
gene_21,species_1,t3,1.2678960352168054
gene_21,species_2,t0,0.0
gene_21,species_2,t1,2.4878366774470444
gene_21,species_2,t2,0.0
gene_21,species_2,t3,0.688421835772207
gene_21,species_3,t0,0.06217869496381842
gene_21,species_3,t1,0.3695022854219224
gene_21,species_3,t2,0.0
gene_21,species_3,t3,0.0
gene_22,species_1,t0,0.8509645017554186
gene_22,species_1,t1,0.10824882728116786
gene_22,species_1,t2,0.0
gene_22,species_1,t3,1.1006789716409013
gene_22,species_2,t0,1.7422733651444586
gene_22,species_2,t1,2.9753987089723184
gene_22,species_2,t2,0.6261254682515649
gene_22,species_2,t3,0.3592055715302325
gene_22,species_3,t0,0.0
gene_22,species_3,t1,0.0
gene_22,species_3,t2,1.443997412036626
gene_22,species_3,t3,0.0
gene_23,species_1,t0,0.0
gene_23,species_1,t1,0.0
gene_23,species_1,t2,1.3341037796904565
gene_23,species_1,t3,0.0
gene_23,species_2,t0,0.7030653628952199
gene_23,species_2,t1,1.24379308025914
gene_23,species_2,t2,0.0
gene_23,species_2,t3,0.43001019074079483
gene_23,species_3,t0,0.0
gene_23,species_3,t1,0.0
gene_23,species_3,t2,0.6198049338670079
gene_23,species_3,t3,0.0
gene_24,species_1,t0,1.451254066762592
gene_24,species_1,t1,1.5539339484460886
gene_24,species_1,t2,0.5898459812815049
gene_24,species_1,t3,0.0
gene_24,species_2,t0,1.9121709351298761
gene_24,species_2,t1,3.555339532930685
gene_24,species_2,t2,0.1303700564881737
gene_24,species_2,t3,0.0
gene_24,species_3,t0,0.4095133871440235
gene_24,species_3,t1,1.2359327366787436
gene_24,species_3,t2,0.7451094806717911
gene_24,species_3,t3,0.6242025853792859
gene_25,species_1,t0,2.3183225563892993
gene_25,species_1,t1,4.088273128632997
gene_25,species_1,t2,3.333475707657768
gene_25,species_1,t3,2.4264511547011383
gene_25,species_2,t0,0.0
gene_25,species_2,t1,5.013944646153784
gene_25,species_2,t2,3.3455712726184923
gene_25,species_2,t3,0.0
gene_25,species_3,t0,0.0
gene_25,species_3,t1,0.9128735831291868
gene_25,species_3,t2,0.7721432444821643
gene_25,species_3,t3,0.0
gene_26,species_1,t0,0.0
gene_26,species_1,t1,1.2601852954268737
gene_26,species_1,t2,0.8715456999029995
gene_26,species_1,t3,0.0
gene_26,species_2,t0,0.27640634968543126
gene_26,species_2,t1,0.5368595291331473
gene_26,species_2,t2,0.1717657554155093
gene_26,species_2,t3,0.0
gene_26,species_3,t0,0.25269447344438917
gene_26,species_3,t1,0.0
gene_26,species_3,t2,0.6685606862085947
gene_26,species_3,t3,0.48511769069190824
gene_27,species_1,t0,0.0
gene_27,species_1,t1,0.0
gene_27,species_1,t2,3.0371149833384643
gene_27,species_1,t3,0.9389652266778982
gene_27,species_2,t0,0.8804103618167577
gene_27,species_2,t1,0.0
gene_27,species_2,t2,2.828640492146563
gene_27,species_2,t3,0.809593577277868
gene_27,species_3,t0,0.0714060662785959
gene_27,species_3,t1,0.0
gene_27,species_3,t2,1.1098359332972085
gene_27,species_3,t3,0.512617336041191
gene_28,species_1,t0,0.04517431402269114
gene_28,species_1,t1,0.0
gene_28,species_1,t2,2.156912464909802
gene_28,species_1,t3,0.0
gene_28,species_2,t0,0.2434782258879724
gene_28,species_2,t1,0.0
gene_28,species_2,t2,2.4189455325410494
gene_28,species_2,t3,0.0
gene_28,species_3,t0,0.2199202965132491
gene_28,species_3,t1,0.7680010539908495
gene_28,species_3,t2,0.3561577234182414
gene_28,species_3,t3,0.27632133645719276
gene_29,species_1,t0,0.42685922768864815
gene_29,species_1,t1,0.33737849509151036
gene_29,species_1,t2,0.0023010366896065587
gene_29,species_1,t3,0.0
gene_29,species_2,t0,1.0150320644505721
gene_29,species_2,t1,1.6987370061530502
gene_29,species_2,t2,1.0217417029219875
gene_29,species_2,t3,0.8732669871230051
gene_29,species_3,t0,0.0
gene_29,species_3,t1,0.0
gene_29,species_3,t2,0.0
gene_29,species_3,t3,0.0
gene_30,species_1,t0,0.5589328901077867
gene_30,species_1,t1,0.0
gene_30,species_1,t2,1.4703574830141033
gene_30,species_1,t3,0.0
gene_30,species_2,t0,0.0
gene_30,species_2,t1,1.003169641507094
gene_30,species_2,t2,1.0959082964222429
gene_30,species_2,t3,0.6497149825186213
gene_30,species_3,t0,0.0
gene_30,species_3,t1,0.0
gene_30,species_3,t2,0.7026205294209149
gene_30,species_3,t3,0.3105281480531953
gene_31,species_1,t0,0.4295274118760682
gene_31,species_1,t1,0.0
gene_31,species_1,t2,0.0
gene_31,species_1,t3,0.0
gene_31,species_2,t0,0.6785506471685318
gene_31,species_2,t1,0.0
gene_31,species_2,t2,1.6570581744737232
gene_31,species_2,t3,0.9282190860036537
gene_31,species_3,t0,0.2373445897630205
gene_31,species_3,t1,0.0
gene_31,species_3,t2,0.36186591655144185
gene_31,species_3,t3,0.0
gene_32,species_1,t0,1.7833190316300997
gene_32,species_1,t1,3.5959274513451334
gene_32,species_1,t2,0.0
gene_32,species_1,t3,1.0082847090644391
gene_32,species_2,t0,0.0
gene_32,species_2,t1,0.0
gene_32,species_2,t2,0.2880140384120363
gene_32,species_2,t3,0.0
gene_32,species_3,t0,0.0548643468649783
gene_32,species_3,t1,0.0
gene_32,species_3,t2,0.0
gene_32,species_3,t3,0.0
gene_33,species_1,t0,0.3296414930018485
gene_33,species_1,t1,0.8253565179972523
gene_33,species_1,t2,0.0
gene_33,species_1,t3,0.0
gene_33,species_2,t0,0.0
gene_33,species_2,t1,0.1175783515216481
gene_33,species_2,t2,0.4333461264562545
gene_33,species_2,t3,0.19181846059493657
gene_33,species_3,t0,0.0
gene_33,species_3,t1,0.4381389730750487
gene_33,species_3,t2,0.17856002387645054
gene_33,species_3,t3,0.0
gene_34,species_1,t0,0.9235780276969809
gene_34,species_1,t1,0.0
gene_34,species_1,t2,0.0
gene_34,species_1,t3,0.15785853991882184
gene_34,species_2,t0,0.8800830988076299
gene_34,species_2,t1,1.6729035764485933
gene_34,species_2,t2,0.0
gene_34,species_2,t3,0.342015344063175
gene_34,species_3,t0,0.0
gene_34,species_3,t1,0.0
gene_34,species_3,t2,0.6134952926245957
gene_34,species_3,t3,0.12546805562149813
gene_35,species_1,t0,0.5758477503335278
gene_35,species_1,t1,1.439115268103538
gene_35,species_1,t2,0.5978982591704031
gene_35,species_1,t3,0.0
gene_35,species_2,t0,0.41181932538149135
gene_35,species_2,t1,0.6640325608853087
gene_35,species_2,t2,0.0
gene_35,species_2,t3,0.339304935086442
gene_35,species_3,t0,0.0653483602515021
gene_35,species_3,t1,0.0
gene_35,species_3,t2,0.0
gene_35,species_3,t3,0.0
gene_36,species_1,t0,0.6744621019032182
gene_36,species_1,t1,1.9725372476668765
gene_36,species_1,t2,0.0
gene_36,species_1,t3,0.0
gene_36,species_2,t0,0.0
gene_36,species_2,t1,1.162788689148644
gene_36,species_2,t2,0.0
gene_36,species_2,t3,0.8525605210411262
gene_36,species_3,t0,0.18954326032414853
gene_36,species_3,t1,0.0
gene_36,species_3,t2,0.7993920230343441
gene_36,species_3,t3,0.03202224071246225
gene_37,species_1,t0,1.8889392428915825
gene_37,species_1,t1,3.004109223288548
gene_37,species_1,t2,0.0
gene_37,species_1,t3,0.0
gene_37,species_2,t0,2.4118205826041232
gene_37,species_2,t1,4.013541218304481
gene_37,species_2,t2,0.7796883297315851
gene_37,species_2,t3,1.4720764573023872
gene_37,species_3,t0,0.0
gene_37,species_3,t1,0.0
gene_37,species_3,t2,0.0
gene_37,species_3,t3,0.0
gene_38,species_1,t0,0.0
gene_38,species_1,t1,0.0
gene_38,species_1,t2,0.0
gene_38,species_1,t3,1.1721539693565874
gene_38,species_2,t0,2.977296026686255
gene_38,species_2,t1,5.285537604502516
gene_38,species_2,t2,0.0
gene_38,species_2,t3,0.0
gene_38,species_3,t0,0.0
gene_38,species_3,t1,0.5683348588639254
gene_38,species_3,t2,0.0
gene_38,species_3,t3,0.0
gene_39,species_1,t0,0.04609323695648367
gene_39,species_1,t1,0.505687450085145
gene_39,species_1,t2,0.6118460662058517
gene_39,species_1,t3,0.37676243091800554
gene_39,species_2,t0,0.003366109211755581
gene_39,species_2,t1,0.0
gene_39,species_2,t2,0.0
gene_39,species_2,t3,0.3224683837122096
gene_39,species_3,t0,0.0
gene_39,species_3,t1,0.0
gene_39,species_3,t2,0.3447325135587984
gene_39,species_3,t3,0.23068398224869557
gene_40,species_1,t0,0.3331158186584531
gene_40,species_1,t1,0.8527860093665003
gene_40,species_1,t2,0.0
gene_40,species_1,t3,1.6546889714588136
gene_40,species_2,t0,1.1614181337802374
gene_40,species_2,t1,1.9607913288044228
gene_40,species_2,t2,0.0
gene_40,species_2,t3,0.0
gene_40,species_3,t0,0.0
gene_40,species_3,t1,1.409490814691784
gene_40,species_3,t2,0.0
gene_40,species_3,t3,0.0
gene_41,species_1,t0,0.0
gene_41,species_1,t1,3.987341169903311
gene_41,species_1,t2,2.8376748234804134
gene_41,species_1,t3,2.377721982630081
gene_41,species_2,t0,1.4258990873347868
gene_41,species_2,t1,2.723360053566409
gene_41,species_2,t2,2.062464053024223
gene_41,species_2,t3,1.7128425637897595
gene_41,species_3,t0,0.11634987088604501
gene_41,species_3,t1,0.0
gene_41,species_3,t2,1.2631614694712354
gene_41,species_3,t3,0.5620647349182399
gene_42,species_1,t0,0.0
gene_42,species_1,t1,1.0409533346484787
gene_42,species_1,t2,1.8969140005618885
gene_42,species_1,t3,0.0
gene_42,species_2,t0,2.901685437626209
gene_42,species_2,t1,4.559579427512955
gene_42,species_2,t2,0.07275103827212709
gene_42,species_2,t3,1.086213991946048
gene_42,species_3,t0,0.0
gene_42,species_3,t1,0.0
gene_42,species_3,t2,1.5531455293463006
gene_42,species_3,t3,1.4202974523761163
gene_43,species_1,t0,0.0
gene_43,species_1,t1,2.3392730079720363
gene_43,species_1,t2,0.38523672048810786
gene_43,species_1,t3,0.8023580670210217
gene_43,species_2,t0,0.044217370581068886
gene_43,species_2,t1,0.06158103940314913
gene_43,species_2,t2,0.9028897917496328
gene_43,species_2,t3,0.0
gene_43,species_3,t0,0.36570029371352664
gene_43,species_3,t1,1.406112366615387
gene_43,species_3,t2,0.0
gene_43,species_3,t3,0.0
gene_44,species_1,t0,0.6680568478795417
gene_44,species_1,t1,0.0
gene_44,species_1,t2,0.0
gene_44,species_1,t3,0.0
gene_44,species_2,t0,0.37878414845410324
gene_44,species_2,t1,0.0
gene_44,species_2,t2,2.1144512884329965
gene_44,species_2,t3,0.8493095235803708
gene_44,species_3,t0,0.0
gene_44,species_3,t1,1.070787361502931
gene_44,species_3,t2,0.3843118150591133
gene_44,species_3,t3,0.0
gene_45,species_1,t0,1.3505045444542487
gene_45,species_1,t1,0.0
gene_45,species_1,t2,2.30865706231538
gene_45,species_1,t3,0.0
gene_45,species_2,t0,0.0
gene_45,species_2,t1,1.925949356073025
gene_45,species_2,t2,1.1359279825193322
gene_45,species_2,t3,1.0549854171748532
gene_45,species_3,t0,0.19543455638760673
gene_45,species_3,t1,1.225479313429045
gene_45,species_3,t2,1.20338659508074
gene_45,species_3,t3,0.7924790060801232
gene_46,species_1,t0,0.0
gene_46,species_1,t1,2.627516703768348
gene_46,species_1,t2,2.995198263373329
gene_46,species_1,t3,2.225345286013477
gene_46,species_2,t0,0.0
gene_46,species_2,t1,0.7064195422838933
gene_46,species_2,t2,0.9590832870398955
gene_46,species_2,t3,0.0
gene_46,species_3,t0,0.0
gene_46,species_3,t1,0.0
gene_46,species_3,t2,1.6327569742554742
gene_46,species_3,t3,1.2228655096602767
gene_47,species_1,t0,0.0
gene_47,species_1,t1,0.0
gene_47,species_1,t2,2.9092386207491434
gene_47,species_1,t3,0.0
gene_47,species_2,t0,0.0
gene_47,species_2,t1,0.16238695650928223
gene_47,species_2,t2,1.9242428034745387
gene_47,species_2,t3,0.8740820537842474
gene_47,species_3,t0,0.0
gene_47,species_3,t1,0.9129812084362823
gene_47,species_3,t2,0.0
gene_47,species_3,t3,0.0
gene_48,species_1,t0,0.0
gene_48,species_1,t1,2.836787515571969
gene_48,species_1,t2,3.977204509655587
gene_48,species_1,t3,2.523664098466034
gene_48,species_2,t0,0.0
gene_48,species_2,t1,0.0
gene_48,species_2,t2,2.411433361485576
gene_48,species_2,t3,1.1880201179434353
gene_48,species_3,t0,0.3090856307343981
gene_48,species_3,t1,0.0
gene_48,species_3,t2,1.7788406031818147
gene_48,species_3,t3,1.2803306704019375
gene_49,species_1,t0,0.0
gene_49,species_1,t1,1.3221539077333202
gene_49,species_1,t2,1.2195813794147081
gene_49,species_1,t3,0.0
gene_49,species_2,t0,1.3200082430491236
gene_49,species_2,t1,2.2051220171392907
gene_49,species_2,t2,1.4862395332642024
gene_49,species_2,t3,1.2679533304192814
gene_49,species_3,t0,0.46690008738465294
gene_49,species_3,t1,0.4831375218571955
gene_49,species_3,t2,0.10884936069455663
gene_49,species_3,t3,0.18760128487181044
gene_50,species_1,t0,0.05476465353358481
gene_50,species_1,t1,0.0
gene_50,species_1,t2,2.1976162369641683
gene_50,species_1,t3,0.0
gene_50,species_2,t0,0.40703002092194257
gene_50,species_2,t1,0.5129229893980206
gene_50,species_2,t2,0.5981607524618756
gene_50,species_2,t3,0.19681328938235962
gene_50,species_3,t0,0.617864614566199
gene_50,species_3,t1,1.862852914078454
gene_50,species_3,t2,1.3805903193011544
gene_50,species_3,t3,1.140564367059623
gene_51,species_1,t0,0.38944433851323546
gene_51,species_1,t1,0.5467127088918826
gene_51,species_1,t2,0.5678263878812095
gene_51,species_1,t3,0.0
gene_51,species_2,t0,0.7272594229888141
gene_51,species_2,t1,0.0
gene_51,species_2,t2,1.0335298417027903
gene_51,species_2,t3,0.7266915270451397
gene_51,species_3,t0,0.17009750783738503
gene_51,species_3,t1,0.5456722605311378
gene_51,species_3,t2,0.0
gene_51,species_3,t3,0.0
gene_52,species_1,t0,0.6789333791534559
gene_52,species_1,t1,0.6506127104204953
gene_52,species_1,t2,0.6358254487240692
gene_52,species_1,t3,0.3754190102731405
gene_52,species_2,t0,0.7212050822477255
gene_52,species_2,t1,1.46342854832556
gene_52,species_2,t2,0.7701831308313218
gene_52,species_2,t3,0.7222870759817982
gene_52,species_3,t0,0.0
gene_52,species_3,t1,0.44736444828872907
gene_52,species_3,t2,0.21225661775028484
gene_52,species_3,t3,0.32871811661828576
gene_53,species_1,t0,0.0
gene_53,species_1,t1,2.5198059665793484
gene_53,species_1,t2,0.0
gene_53,species_1,t3,1.2923855636397261
gene_53,species_2,t0,0.0
gene_53,species_2,t1,1.982378776331597
gene_53,species_2,t2,0.8563759087717832
gene_53,species_2,t3,0.8918293944503173
gene_53,species_3,t0,0.5752731564291624
gene_53,species_3,t1,0.0
gene_53,species_3,t2,1.2692079835044683
gene_53,species_3,t3,1.1104863994450591
gene_54,species_1,t0,0.8410435926496048
gene_54,species_1,t1,2.7105894483728905
gene_54,species_1,t2,0.0
gene_54,species_1,t3,0.0
gene_54,species_2,t0,0.5196065378421737
gene_54,species_2,t1,1.225446377269764
gene_54,species_2,t2,0.0
gene_54,species_2,t3,1.1048408327491086
gene_54,species_3,t0,0.0
gene_54,species_3,t1,0.5176439195443397
gene_54,species_3,t2,0.9380550300262142
gene_54,species_3,t3,0.4778519356327731
gene_55,species_1,t0,1.3743960443621268
gene_55,species_1,t1,3.9033283239512055
gene_55,species_1,t2,2.971394321643362
gene_55,species_1,t3,2.511977570569115
gene_55,species_2,t0,0.0
gene_55,species_2,t1,1.9982664668775976
gene_55,species_2,t2,1.9391816504344086
gene_55,species_2,t3,1.2239512219151167
gene_55,species_3,t0,0.15150817573943998
gene_55,species_3,t1,1.198103762072538
gene_55,species_3,t2,0.0
gene_55,species_3,t3,0.8095150622036267
gene_56,species_1,t0,2.37454668802318
gene_56,species_1,t1,4.7715863180947
gene_56,species_1,t2,0.0
gene_56,species_1,t3,0.0
gene_56,species_2,t0,2.6037615273287664
gene_56,species_2,t1,4.4860449573626076
gene_56,species_2,t2,0.0
gene_56,species_2,t3,0.803908921796433
gene_56,species_3,t0,0.0
gene_56,species_3,t1,0.38221045445211504
gene_56,species_3,t2,0.13717776869402887
gene_56,species_3,t3,0.0
gene_57,species_1,t0,1.1993848476961835
gene_57,species_1,t1,0.0
gene_57,species_1,t2,0.0
gene_57,species_1,t3,0.3483860219030336
gene_57,species_2,t0,1.544547812884305
gene_57,species_2,t1,2.2696482812336094
gene_57,species_2,t2,0.0
gene_57,species_2,t3,0.3094689405058245
gene_57,species_3,t0,0.07039536930601481
gene_57,species_3,t1,0.3941249908761924
gene_57,species_3,t2,0.0
gene_57,species_3,t3,0.11044877125664754
gene_58,species_1,t0,0.3323241171767507
gene_58,species_1,t1,1.226023104929743
gene_58,species_1,t2,0.0
gene_58,species_1,t3,0.6554876722176862
gene_58,species_2,t0,0.5299023384240862
gene_58,species_2,t1,0.7050014238942228
gene_58,species_2,t2,0.0
gene_58,species_2,t3,0.0
gene_58,species_3,t0,0.2842915214111148
gene_58,species_3,t1,1.099869428060348
gene_58,species_3,t2,0.5455292313992474
gene_58,species_3,t3,0.48126727445846346
gene_59,species_1,t0,0.23089099433079424
gene_59,species_1,t1,0.0
gene_59,species_1,t2,0.0
gene_59,species_1,t3,0.27988320757647067
gene_59,species_2,t0,0.0
gene_59,species_2,t1,0.0
gene_59,species_2,t2,1.1810701444627998
gene_59,species_2,t3,0.38766236152127265
gene_59,species_3,t0,0.14594084760209086
gene_59,species_3,t1,0.0
gene_59,species_3,t2,0.13247654145588766
gene_59,species_3,t3,0.0
gene_60,species_1,t0,3.425437866265713
gene_60,species_1,t1,8.241725615328962
gene_60,species_1,t2,3.2341653148540805
gene_60,species_1,t3,3.4890691216688534
gene_60,species_2,t0,3.3874281093204286
gene_60,species_2,t1,0.0
gene_60,species_2,t2,1.816912917343447
gene_60,species_2,t3,2.1723860983924554
gene_60,species_3,t0,0.0
gene_60,species_3,t1,1.1943971922136156
gene_60,species_3,t2,0.9916042825193297
gene_60,species_3,t3,0.0
gene_61,species_1,t0,1.0773791073482346
gene_61,species_1,t1,0.0
gene_61,species_1,t2,1.565540447651856
gene_61,species_1,t3,0.7141616914103205
gene_61,species_2,t0,1.5231809155761917
gene_61,species_2,t1,0.0
gene_61,species_2,t2,0.0
gene_61,species_2,t3,0.1286363627529833
